profile,tier,consigne,games,winsA,draws,winsB,score,eloDiff,ci95Low,ci95High,averagePlies,seconds
camille,1500,2000,6,3,1,2,0.5833,58.5,-433.5,2400.0,102.8,103
camille,1500,2600,6,2,0,4,0.3333,-120.4,-2400.0,309.7,61.2,60
camille,1500,3200,6,2,0,4,0.3333,-120.4,-2400.0,309.7,80.8,78
